iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.2,0.17,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.282,-1.0253135096746397,12.323162573498179,0.988453999460317,,0.0001,-4.0,15.920167265403506,1.9201672654035065
0.2,0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.27,-0.9923144082206475,11.887591669310787,0.9771585781618162,,0.01,-2.0,13.995152699851548,-0.004847300148451694
0.2,0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.27,-0.9923144082206475,11.887591669310787,0.9771585781618162,,0.001,-3.0,15.002897817442992,1.0028978174429923
0.2,0.18,log10_fsr_linear_vs_snr,4,12.5,14.0,0.008,0.27,-0.9923144082206475,11.887591669310787,0.9771585781618162,,0.0001,-4.0,16.010642935034436,2.0106429350344364
0.2,0.2,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.254,-1.0165337410607223,12.177358781282374,0.9822037373664365,,0.01,-2.0,13.946766554436971,-0.5532334455630288
0.2,0.2,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.254,-1.0165337410607223,12.177358781282374,0.9822037373664365,,0.001,-3.0,14.93050173174307,0.43050173174306927
0.2,0.2,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.254,-1.0165337410607223,12.177358781282374,0.9822037373664365,,0.0001,-4.0,15.914236909049164,1.4142369090491638
0.2,0.21,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.268,-1.0277632356055082,12.340490953445007,0.9822607421523719,,0.01,-2.0,13.953107541345636,-0.546892458654364
0.2,0.21,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.268,-1.0277632356055082,12.340490953445007,0.9822607421523719,,0.001,-3.0,14.92609428124478,0.42609428124477944
0.2,0.21,log10_fsr_linear_vs_snr,5,12.5,14.5,0.002,0.268,-1.0277632356055082,12.340490953445007,0.9822607421523719,,0.0001,-4.0,15.899081021143923,1.3990810211439229
0.25,0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.446,-0.8006702955346413,10.151927375453507,0.9838483050976637,,0.01,-2.0,15.177192713686416,-0.3228072863135836
0.25,0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.446,-0.8006702955346413,10.151927375453507,0.9838483050976637,,0.001,-3.0,16.42614625371035,0.9261462537103498
0.25,0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.446,-0.8006702955346413,10.151927375453507,0.9838483050976637,,0.0001,-4.0,17.675099793734283,2.175099793734283
0.25,0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.398,-0.7992637757716627,10.070513249074839,0.9921957577070821,,0.01,-2.0,15.102039670722169,-0.3979603292778311
0.25,0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.398,-0.7992637757716627,10.070513249074839,0.9921957577070821,,0.001,-3.0,16.35319108069885,0.8531910806988492
0.25,0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.398,-0.7992637757716627,10.070513249074839,0.9921957577070821,,0.0001,-4.0,17.604342490675528,2.1043424906755277
0.25,0.22,log10_fsr_linear_vs_snr,6,13.0,15.5,0.01,0.402,-0.6589248667711648,8.169908271605461,0.9959066828645957,,0.01,-2.0,15.434093907306316,-0.06590609269368386
0.25,0.22,log10_fsr_linear_vs_snr,6,13.0,15.5,0.01,0.402,-0.6589248667711648,8.169908271605461,0.9959066828645957,,0.001,-3.0,16.951717615909327,1.4517176159093275
0.25,0.22,log10_fsr_linear_vs_snr,6,13.0,15.5,0.01,0.402,-0.6589248667711648,8.169908271605461,0.9959066828645957,,0.0001,-4.0,18.46934132451234,2.969341324512339
