iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.25,0.15,log10_fsr_linear_vs_snr,3,13.0,15.0,0.05,0.72,-0.5791812460476252,7.401378043167155,0.9980739832748293,,0.001,-3.0,17.95876181099943,2.9587618109994303
0.25,0.15,log10_fsr_linear_vs_snr,3,13.0,15.0,0.05,0.72,-0.5791812460476252,7.401378043167155,0.9980739832748293,,0.0001,-4.0,19.685337052901808,4.685337052901808
0.25,0.18,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.49,-0.8450980400142571,10.728104586875773,0.9889250503533129,,0.01,-2.0,15.061098220818314,0.061098220818314175
0.25,0.18,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.49,-0.8450980400142571,10.728104586875773,0.9889250503533129,,0.001,-3.0,16.244392883273253,1.2443928832732531
0.25,0.18,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.49,-0.8450980400142571,10.728104586875773,0.9889250503533129,,0.0001,-4.0,17.42768754572819,2.4276875457281903
0.25,0.2,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.46,-0.8313789158407874,10.475256779002969,0.9999092400834064,,0.01,-2.0,15.005500550115025,0.005500550115025149
0.25,0.2,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.46,-0.8313789158407874,10.475256779002969,0.9999092400834064,,0.001,-3.0,16.208321527344985,1.2083215273449852
0.25,0.2,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.46,-0.8313789158407874,10.475256779002969,0.9999092400834064,,0.0001,-4.0,17.411142504574944,2.4111425045749435
0.25,0.22,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.46,-0.8313789158407876,10.511638268811328,0.9927726850702958,,0.01,-2.0,15.049260969239395,0.049260969239394825
0.25,0.22,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.46,-0.8313789158407876,10.511638268811328,0.9927726850702958,,0.001,-3.0,16.252081946469353,1.2520819464693531
0.25,0.22,log10_fsr_linear_vs_snr,3,13.0,15.0,0.01,0.46,-0.8313789158407876,10.511638268811328,0.9927726850702958,,0.0001,-4.0,17.45490292369931,2.4549029236993114
0.25,0.25,log10_fsr_linear_vs_snr,3,13.0,15.0,0.03,0.54,-0.6276362525516533,7.924785868122665,0.9917149644686654,,0.01,-2.0,15.812958266469595,0.8129582664695949
0.25,0.25,log10_fsr_linear_vs_snr,3,13.0,15.0,0.03,0.54,-0.6276362525516533,7.924785868122665,0.9917149644686654,,0.001,-3.0,17.40623780686342,2.4062378068634196
0.25,0.25,log10_fsr_linear_vs_snr,3,13.0,15.0,0.03,0.54,-0.6276362525516533,7.924785868122665,0.9917149644686654,,0.0001,-4.0,18.999517347257243,3.9995173472572425
