iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.25,0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.4533333333333333,-0.8013919851576115,10.159740689201737,0.9867790800312763,,0.001,-3.0,16.421103446166338,0.9211034461663381
0.25,0.18,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.4533333333333333,-0.8013919851576115,10.159740689201737,0.9867790800312763,,0.0001,-4.0,17.668932247203482,2.1689322472034824
0.25,0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.4083333333333333,-0.800321449973955,10.082398189239484,0.9941789736426365,,0.01,-2.0,15.096931601211843,-0.40306839878815737
0.25,0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.4083333333333333,-0.800321449973955,10.082398189239484,0.9941789736426365,,0.001,-3.0,16.34642953736305,0.8464295373630506
0.25,0.2,log10_fsr_linear_vs_snr,6,13.0,15.5,0.004,0.4083333333333333,-0.800321449973955,10.082398189239484,0.9941789736426365,,0.0001,-4.0,17.59592747351426,2.0959274735142586
0.25,0.22,log10_fsr_linear_vs_snr,6,13.0,15.5,0.01,0.4116666666666667,-0.6696305535670634,8.317402178599323,0.9947096075118832,,0.01,-2.0,15.407603675846964,-0.09239632415303589
0.25,0.22,log10_fsr_linear_vs_snr,6,13.0,15.5,0.01,0.4116666666666667,-0.6696305535670634,8.317402178599323,0.9947096075118832,,0.001,-3.0,16.900964447205272,1.400964447205272
0.25,0.22,log10_fsr_linear_vs_snr,6,13.0,15.5,0.01,0.4116666666666667,-0.6696305535670634,8.317402178599323,0.9947096075118832,,0.0001,-4.0,18.39432521856358,2.89432521856358
0.25,0.25,log10_fsr_linear_vs_snr,6,13.0,15.5,0.022,0.465,-0.5746336260850856,7.125078091104399,0.978063911558913,,0.01,-2.0,15.879819204581764,0.3798192045817643
0.25,0.25,log10_fsr_linear_vs_snr,6,13.0,15.5,0.022,0.465,-0.5746336260850856,7.125078091104399,0.978063911558913,,0.001,-3.0,17.620058471143466,2.120058471143466
0.25,0.25,log10_fsr_linear_vs_snr,6,13.0,15.5,0.022,0.465,-0.5746336260850856,7.125078091104399,0.978063911558913,,0.0001,-4.0,19.360297737705164,3.8602977377051637
